Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ASD & TIC,ASD & MD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ASD & TIC,ASD & TIC,ASD & TIC,0.6,0.09,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ASD & SLD,ASD & SLD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ASD & SLD,ASD & SLD,ASD & SLD,0.71,0.03,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ADHD & DCD,ADHD & DCD,ADHD & DCD,0.99,0.08,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ADHD & TIC,ADHD & MD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ADHD & TIC,ADHD & TIC,ADHD & TIC,0.99,0.09,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,ADHD & SLD,ADHD & SLD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,ADHD & SLD,ADHD & SLD,ADHD & SLD,0.25,0.51,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,Motor Disorder & TIC,MD & MD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Males,Categorical,DCD & TIC,DCD & TIC,DCD & TIC,0.99,0.51,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,Motor Disorder & SLD,MD & SLD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,DCD & SLD,DCD & SLD,DCD & SLD,0.99,0.05,,,,,Aonly
"Lichtenstein, P., Carlström, E., Råstam, M., Gillberg, C., & Anckarsäter, H. (2010). The genetics of autism spectrum disorders and related neuropsychiatric disorders in childhood. American Journal of Psychiatry, 167(11), 1357-1363. ","Lichtenstein, Carlstrom, Rastam, Gillberg & Anckarsater (2010)",No data,Swedish Twin Register,,Swedish Twin Register,Twin study,Categorical threshold,6858,,,9-12y,Middle childhood & Adolescence,Sweden,,TIC & SLD,MD & SLD,NDD,Binary,Categorical,A-TAC,,,,,,,,Parent,,Age,,,Family,Combined,Categorical,TIC & SLD,TIC & SLD,TIC & SLD,0.32,0.51,,,,,Aonly
"Light, J. G., Pennington, B. F., Gilger, J. W., & DeFries, J. C. (1995). Reading disability and hyperactivity disorder: Evidence for a common genetic etiology. Developmental Neuropsychology, 11(3), 323-335. ","Light, Pennington, Gilger & DeFries (1995)",No data,Colorado Reading Project,,CRP,Twin study,DFextremes,208,,,8-20y,Middle childhood & Adolescence,USA,Colorado,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,WISC,PIAT,DICA,,,,,,Parent,,Sex,,,Family,Combined,Continuous,ADHD & Reading,ADHD & Reading Ability,ADHD Traits & Reading Ability,0.45,0.2,,,,,DFAonly
"Lundström, S., Chang, Z., Kerekes, N., Gumpert, C. H., Råstam, M., Gillberg, C. a., . . . Anckarsäter, H. (2011). Autistic-like Traits and their association with mental health problems in two nationwide twin cohorts of children and adults. Psychological medicine, 41(11), 2423-2433. ",Lundstrom et al. (2011),No data,CATSS,,CATSS,Twin study,Classical,11222,,,9-12y,Middle childhood & Adolescence,Sweden,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Sex,Zygosity,SES,Family,Combined,Continuous,ADHD & ASD,ADHD & ASD,ADHD Traits & Autistic Traits,0.53,0.02,–0.69 ,0.51,0.49,0.03,FULL
"Lundström, S., Chang, Z., Kerekes, N., Gumpert, C. H., Råstam, M., Gillberg, C. a., . . . Anckarsäter, H. (2011). Autistic-like Traits and their association with mental health problems in two nationwide twin cohorts of children and adults. Psychological medicine, 41(11), 2423-2433. ",Lundstrom et al. (2011),No data,CATSS,,CATSS,Twin study,Classical,11222,,,9-12y,Middle childhood & Adolescence,Sweden,,ASD & CD,ASD & CD,DICC,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Sex,Zygosity,SES,Family,Combined,Continuous,ASD & CD,ASD & CD,Autistic Traits & CD Traits,0.38,0.03,0.68,0.43,0.21,0.04,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Control during movement,Inattention & Motor Control,ADHD & Motor Disorder,0.12,0.03,0.22,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Control during movement,Hyperactivity & Motor Control,ADHD & Motor Disorder,0.001,0.03,0.2,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Control during movement,ADHD & Motor Control,ADHD & Motor Disorder,0.001,0.03,0.22,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Control during movement,Inattention & Motor Control,ADHD & Motor Disorder,0.71,0.02,0.001,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Control during movement,Hyperactivity & Motor Control,ADHD & Motor Disorder,0.26,0.03,0.2,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Control during movement,ADHD & Motor Control,ADHD & Motor Disorder,0.36,0.03,0.001,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Fine motor control,Inattention & Motor Control,ADHD & Motor Disorder,0.66,0.02,0.2,0.03,0.06,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Fine motor control,Hyperactivity & Motor Control,ADHD & Motor Disorder,0.21,0.03,0.001,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Fine motor control,ADHD & Motor Control,ADHD & Motor Disorder,0.64,0.02,0.21,0.03,0.06,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Fine motor control,Inattention & Motor Control,ADHD & Motor Disorder,0.25,0.03,0.001,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Fine motor control,Hyperactivity & Motor Control,ADHD & Motor Disorder,0.35,0.03,0.2,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Fine motor control,ADHD & Motor Control,ADHD & Motor Disorder,0.4,0.03,0.05,0.03,0.02,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Gross motor control,Inattention & Motor Control,ADHD & Motor Disorder,0.001,0.03,0.21,0.03,0.03,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Gross motor control,Hyperactivity & Motor Control,ADHD & Motor Disorder,0.001,0.03,0.2,0.03,0.03,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Generel coordination,Inattention & Coordination,ADHD & DCD,0.23,0.03,0.04,0.03,0.03,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Generel coordination,Hyperactivity & Coordination,ADHD & DCD,0.16,0.03,0.06,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Generel coordination,ADHD & Coordination,ADHD & DCD,0.16,0.03,0.05,0.03,0.02,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & Generel coordination,Inattention & Coordination,ADHD & DCD,0.42,0.03,0.001,0.03,0.07,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & Generel coordination,Hyperactivity & Coordination,ADHD & DCD,0.04,0.03,0.02,0.03,0.001,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & Generel coordination,ADHD & Coordination,ADHD & DCD,0.1,0.03,0.03,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & DCD,Inattention & DCD,ADHD & DCD,0.36,0.03,0.2,0.03,0.05,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & DCD,Hyperactivity & DCD,ADHD & DCD,0.21,0.03,0.2,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,ATBRS,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & DCD,ADHD & DCD,ADHD & DCD,0.29,0.03,0.2,0.03,0.04,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Inattention & DCD,Inattention & DCD,ADHD & DCD,0.69,0.02,0.07,0.03,0.05,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,Hyperactivity & DCD,Hyperactivity & DCD,ADHD & DCD,0.16,0.03,0.2,0.03,0.01,0.03,FULL
"Martin, N. C., Piek, J. P., & Hay, D. (2006). DCD and ADHD: a genetic study of their shared aetiology. Human movement science, 25(1), 110-124. ","Martin, Piek & Hay (2006)",No data,ATAP,,ATAP,Twin study,Categorical threshold,1890,,,5-16y,Childhood & Adolescence,Australia,,ADHD & Motor Disorder,ADHD & MD,NDD,Binary,Categorical,SWAN,DCDQ,,,,,,,Parent,,Sex,,,Family,Combined,Categorical,ADHD & DCD,ADHD & DCD,ADHD & DCD,0.51,0.02,0.2,0.03,0.04,0.03,FULL
"Newsome, J., Boisvert, D., & Wright, J. P. (2014). Genetic and environmental influences on the co-occurrence of early academic achievement and externalizing behavior. Journal of Criminal Justice, 42(1), 45-53. ","Newsome, Boisvert & Wright (2014)",62,ECLS-K,,ECLS-K,Twin study,Classical,360,,,5-6y,Childhood,USA,,Dyslexia & DICC,SLD & DICC,DICC,Continuous,Continuous,Language and literacy measures,The Social Rating Scale,,,,,,,Teacher,,Not used,,,Family,Combined,Continuous,Dyslexia & DICC,Reading Ability & DICC,Reading Ability & DICC Traits,-0.14,0.06,0.4,0.21,0.14,0.07,FULL
"O’Nions, E., Tick, B., Rijsdijk, F., Happé, F., Plomin, R., Ronald, A., & Viding, E. (2015). Examining the genetic and environmental associations between autistic social and communication deficits and psychopathic callous-unemotional Traits. PloS one, 10(9), e0134331. ",O'Nions et al. (2015),No data,TEDS,,TEDS,Twin study,Classical,12804,,7.9,,Middle childhood,UK,,ASD & CD,ASD & CD,DICC,Continuous,Continuous,CAST,SDQ,APSD,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,SIs & Callousness-unemotionality,SIs & CD,Autistic Traits & Antisocial Traits,0.31,0.03,,,0.1,0.03,BEST
"O’Nions, E., Tick, B., Rijsdijk, F., Happé, F., Plomin, R., Ronald, A., & Viding, E. (2015). Examining the genetic and environmental associations between autistic social and communication deficits and psychopathic callous-unemotional Traits. PloS one, 10(9), e0134331. ",O'Nions et al. (2015),No data,TEDS,,TEDS,Twin study,Classical,12804,,7.9,,Middle childhood,UK,,ASD & CD,ASD & CD,DICC,Continuous,Continuous,CAST,SDQ,APSD,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,CIs & Callousness-unemotionality,CIs & CD,Autistic Traits & Antisocial Traits,0.23,0.04,0.55,0.24,0.07,0.03,FULL
"Paloyelis, Y., Rijsdijk, F., Wood, A. C., Asherson, P., & Kuntsi, J. (2010). The genetic association between ADHD symptoms and reading difficulties: the role of inattentiveness and IQ. Journal of abnormal child psychology, 38(8), 1083-1095. ","Paloyelis, Rijsdijk, Wood, Asherson & Kuntsi (2010)",100,TEDS,,TEDS,Twin study,DFextremes,1312,,8.83,,Middle childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,RDQ,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & Reading difficulties,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.24,0.05,,,0.06,0.03,DFBEST
"Paloyelis, Y., Rijsdijk, F., Wood, A. C., Asherson, P., & Kuntsi, J. (2010). The genetic association between ADHD symptoms and reading difficulties: the role of inattentiveness and IQ. Journal of abnormal child psychology, 38(8), 1083-1095. ","Paloyelis, Rijsdijk, Wood, Asherson & Kuntsi (2010)",100,TEDS,,TEDS,Twin study,DFextremes,1312,,8.83,,Middle childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,RDQ,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & Reading difficulties,Inattention & Reading Ability,ADHD Traits & Reading Ability,0.6,0.04,,,0.37,0.06,DFBEST
"Pinto, R., Rijsdijk, F., Ronald, A., Asherson, P., & Kuntsi, J. (2016). The genetic overlap of attention-deficit/hyperactivity disorder and autistic-like Traits: an investigation of individual symptom scales and cognitive markers. Journal of abnormal child psychology, 44(2), 335-345. ","Pinto, Rijsdijk, Ronald, Asherson & Kuntsi (2016)",No data,TEDS,,TEDS,Twin study,Classical,1312,,8.83,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & SIs,Hyperactivity & SIs,ADHD Traits & Autistic Traits,0.44,0.06,,,0.03,0.02,BEST
"Pinto, R., Rijsdijk, F., Ronald, A., Asherson, P., & Kuntsi, J. (2016). The genetic overlap of attention-deficit/hyperactivity disorder and autistic-like Traits: an investigation of individual symptom scales and cognitive markers. Journal of abnormal child psychology, 44(2), 335-345. ","Pinto, Rijsdijk, Ronald, Asherson & Kuntsi (2016)",No data,TEDS,,TEDS,Twin study,Classical,1312,,8.83,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Hyperactivity & RRBIs,Hyperactivity & RRBIs,ADHD Traits & Autistic Traits,0.2,0.06,,,0.08,0.04,BEST
"Pinto, R., Rijsdijk, F., Ronald, A., Asherson, P., & Kuntsi, J. (2016). The genetic overlap of attention-deficit/hyperactivity disorder and autistic-like Traits: an investigation of individual symptom scales and cognitive markers. Journal of abnormal child psychology, 44(2), 335-345. ","Pinto, Rijsdijk, Ronald, Asherson & Kuntsi (2016)",No data,TEDS,,TEDS,Twin study,Classical,1312,,8.83,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & SIs,Inattention & SIs,ADHD Traits & Autistic Traits,0.52,0.07,,,0.03,0.02,BEST
"Pinto, R., Rijsdijk, F., Ronald, A., Asherson, P., & Kuntsi, J. (2016). The genetic overlap of attention-deficit/hyperactivity disorder and autistic-like Traits: an investigation of individual symptom scales and cognitive markers. Journal of abnormal child psychology, 44(2), 335-345. ","Pinto, Rijsdijk, Ronald, Asherson & Kuntsi (2016)",No data,TEDS,,TEDS,Twin study,Classical,1312,,8.83,,Middle childhood,UK,,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,Conners,DSM-4,,,,,,,Parent,Teacher,Age,Sex,,Family,Combined,Continuous,Inattention & RRBIs,Inattention & RRBIs,ADHD Traits & Autistic Traits,0.05,0.03,,,0.2,0.07,BEST
