Full Ref,Ref,%White,%Hispanic,%AfrAm,%Asian,%Chinese Han,Cohort,Cohort1,Cohort2,Cohort3,Design1,Design2,Individuals,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Broad Trait/Disorder,Trait/Disorder,Categorical/Continuous,Binary/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Covariate4,Design,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,Binary/Continuous,Group,Sex,h2,h2_SE,c2,c2_SE,e2,e2_SE,Model,,
"Kovas, Y., Haworth, C. M., Dale, P. S., Plomin, R., Weinberg, R. A., Thomson, J. M., & Fischer, K. W. (2007). The genetic and environmental origins of learning abilities and disabilities in the early school years. Monographs of the Society for research in Child Development, i-156. ",Kovas et al. (2007),92,,,,,TEDS,TEDS,,,Twin study,DFextremes,22591,,10y,Middle Childhood,UK,England and Wales,SLD,Dyscalculia,Continuous,Continuous,National Curriculum Criteria,,,,,,,,,,Age,Sex,,,Family,Maths,Maths Ability,Maths Ability,Continuous,,Combined,0.75,0.1,0.04,0.07,,,DFBEST,,
"Kovas, Y., Haworth, C. M., Dale, P. S., Plomin, R., Weinberg, R. A., Thomson, J. M., & Fischer, K. W. (2007). The genetic and environmental origins of learning abilities and disabilities in the early school years. Monographs of the Society for research in Child Development, i-156. ",Kovas et al. (2007),92,,,,,TEDS,TEDS,,,Twin study,DFextremes,22591,,10y,Middle Childhood,UK,England and Wales,SLD,Dyslexia,Continuous,Continuous,PIAT,,,,,,,,,,Age,Sex,,,Family,Reading,Reading Ability,Reading Ability,Continuous,,Combined,0.43,0.11,0.2,0.08,,,DFBEST,,
"Kovas, Y., Haworth, C. M., Dale, P. S., Plomin, R., Weinberg, R. A., Thomson, J. M., & Fischer, K. W. (2007). The genetic and environmental origins of learning abilities and disabilities in the early school years. Monographs of the Society for research in Child Development, i-156. ",Kovas et al. (2007),92,,,,,TEDS,TEDS,,,Twin study,DFextremes,22591,,10y,Middle Childhood,UK,England and Wales,SLD,Dyscalculia,Continuous,Continuous,NFER 5–14 Mathematics Series,,,,,,,,,,Age,Sex,,,Family,Maths,Maths Ability,Maths Ability,Continuous,,Combined,0.47,0.1,0.16,0.07,,,DFBEST,,
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2620,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.58,0.07,0.09,0.05,0.33,0.05,FULL,,
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2620,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.55,0.08,0.19,0.07,0.25,0.05,FULL,,
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2620,,16-17y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,CBCL,YSR,,,,,,,Parent,Self,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.91,0.11,0.01,0.08,0.09,0.05,FULL,,
"Kuja‐Halkola, R., Lichtenstein, P., D'Onofrio, B. M., & Larsson, H. (2015). Codevelopment of ADHD and externalizing behavior from childhood to adulthood. Journal of child Psychology and Psychiatry, 56(6), 640-647. ","Kuja-Halkola, Lichtenstein, D'Onforio & Larsson (2015)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2620,,19-20y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,Adult Behaviour Checklist,ASR,,,,,,,Parent,Self,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.83,0.09,0.01,0.04,0.17,0.07,FULL,,
"Kuntsi, J., & Stevenson, J. (2001). Psychological mechanisms in hyperactivity: II The role of genetic factors. Journal of child Psychology and Psychiatry, 42(2), 211-219. ",Kuntsi & Stevenson (2001),No data,,,,,Twin study in Southern England,Twin study in Southern England,,,Twin study,Classical,250,8y,7-11y,Childhood & Adolescence,UK,England,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.71,0.09,,,0.29,0.09,BEST,,
"Kuntsi, J., & Stevenson, J. (2001). Psychological mechanisms in hyperactivity: II The role of genetic factors. Journal of child Psychology and Psychiatry, 42(2), 211-219. ",Kuntsi & Stevenson (2001),No data,,,,,Twin study in Southern England,Twin study in Southern England,,,Twin study,Classical,250,8y,7-11y,Childhood & Adolescence,UK,England,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Teacher,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.57,0.08,,,0.43,0.08,BEST,,
"Kuntsi, J., & Stevenson, J. (2001). Psychological mechanisms in hyperactivity: II The role of genetic factors. Journal of child Psychology and Psychiatry, 42(2), 211-219. ",Kuntsi & Stevenson (2001),No data,,,,,Twin study in Southern England,Twin study in Southern England,,,Twin study,DFextremes,250,8y,7-11y,Childhood & Adolescence,UK,England,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.42,0.06,,,,,DFAonly,,
"Kuntsi, J., & Stevenson, J. (2001). Psychological mechanisms in hyperactivity: II The role of genetic factors. Journal of child Psychology and Psychiatry, 42(2), 211-219. ",Kuntsi & Stevenson (2001),No data,,,,,Twin study in Southern England,Twin study in Southern England,,,Twin study,DFextremes,250,8y,7-11y,Childhood & Adolescence,UK,England,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Teacher,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.2,0.06,,,,,DFAonly,,
"Kuntsi, J., Pinto, R., Price, T. S., van der Meere, J. J., Frazier-Wood, A. C., & Asherson, P. (2014). The separation of ADHD inattention and hyperactivity-impulsivity symptoms: pathways from genetic effects to cognitive impairments and symptoms. Journal of abnormal child psychology, 42(1), 127-136. ",Kuntsi et al. (2014),100,,,,,TEDS,TEDS,,,Twin study,Classical,1312,8.83,,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.73,0.17,,,0.27,0.03,BEST,,
"Kuntsi, J., Pinto, R., Price, T. S., van der Meere, J. J., Frazier-Wood, A. C., & Asherson, P. (2014). The separation of ADHD inattention and hyperactivity-impulsivity symptoms: pathways from genetic effects to cognitive impairments and symptoms. Journal of abnormal child psychology, 42(1), 127-136. ",Kuntsi et al. (2014),100,,,,,TEDS,TEDS,,,Twin study,Classical,1312,8.83,,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,Teacher,Age,Sex,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.79,0.02,,,0.41,0.05,BEST,,
"Kuntsi, J., Gayán, J., & Stevenson, J. (2000). Parents' and teachers' ratings of problem behaviours in children: Genetic and contrast effects. Twin Research and Human Genetics, 3(4), 251-258. ","Kuntsi, Gayan & Stevenson (2000)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,250,,7-11y,Childhood & Adolescence,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Teacher,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.57,0.06,,,0.43,0.08,BEST,,
"Kuntsi, J., Gayán, J., & Stevenson, J. (2000). Parents' and teachers' ratings of problem behaviours in children: Genetic and contrast effects. Twin Research and Human Genetics, 3(4), 251-258. ","Kuntsi, Gayan & Stevenson (2000)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,250,,7-11y,Childhood & Adolescence,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Teacher,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.8,0.04,,,0.2,0.04,BEST,,
"Kuntsi, J., Gayán, J., & Stevenson, J. (2000). Parents' and teachers' ratings of problem behaviours in children: Genetic and contrast effects. Twin Research and Human Genetics, 3(4), 251-258. ","Kuntsi, Gayan & Stevenson (2000)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,250,,7-11y,Childhood & Adolescence,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.71,0.09,,,0.29,0.09,BEST,,
"Kuntsi, J., Rijsdijk, F., Ronald, A., Asherson, P., & Plomin, R. (2005). Genetic influences on the stability of attention-deficit/hyperactivity Disorder symptoms from early to middle childhood. Biological psychiatry, 57(6), 647-654. ","Kuntsi, Rijsdijk, Ronald, Asherson & Plomin (2005)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,7082,,4y,Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.76,0.01,,,0.24,0.02,BEST,,
"Kuntsi, J., Rijsdijk, F., Ronald, A., Asherson, P., & Plomin, R. (2005). Genetic influences on the stability of attention-deficit/hyperactivity Disorder symptoms from early to middle childhood. Biological psychiatry, 57(6), 647-654. ","Kuntsi, Rijsdijk, Ronald, Asherson & Plomin (2005)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,7082,,7y,Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.79,0.01,,,0.21,0.02,BEST,,
"Kuntsi, J., Rijsdijk, F., Ronald, A., Asherson, P., & Plomin, R. (2005). Genetic influences on the stability of attention-deficit/hyperactivity Disorder symptoms from early to middle childhood. Biological psychiatry, 57(6), 647-654. ","Kuntsi, Rijsdijk, Ronald, Asherson & Plomin (2005)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,7082,,8y,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Age,Sex,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.86,0.004,,,0.14,0.02,BEST,,
"Kuntsi, J., Rijsdijk, F., Ronald, A., Asherson, P., & Plomin, R. (2005). Genetic influences on the stability of attention-deficit/hyperactivity Disorder symptoms from early to middle childhood. Biological psychiatry, 57(6), 647-654. ","Kuntsi, Rijsdijk, Ronald, Asherson & Plomin (2005)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,7082,,8y,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Males,0.72,0.03,0.14,0.03,0.14,0.01,FULL,,
"Kuntsi, J., Rijsdijk, F., Ronald, A., Asherson, P., & Plomin, R. (2005). Genetic influences on the stability of attention-deficit/hyperactivity Disorder symptoms from early to middle childhood. Biological psychiatry, 57(6), 647-654. ","Kuntsi, Rijsdijk, Ronald, Asherson & Plomin (2005)",No data,,,,,TEDS,TEDS,,,Twin study,Classical,7082,,8y,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,Conners,,,,,,,,Parent,,Age,Sex,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Females,0.72,0.03,0.14,0.03,0.14,0.01,FULL,,
"Kuo, P.-H., Lin, C. C., Yang, H.-J., Soong, W.-T., & Chen, W. J. (2004). A twin study of competence and behavioral/emotional problems among adolescents in Taiwan. Behavior Genetics, 34(1), 63-74. ","Kuo, Lin, Yang, Soong & Chen (2004)",No data,,,,,Twin study in Taipei City,Twin study in Taipei City,,,Twin and sibling study,Classical,558,14.05,12-16y,Adolescence,Taiwan,Taipei ,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Males,0.82,0.11,0.12,0.13,0.16,0.03,FULL,,
"Kuo, P.-H., Lin, C. C., Yang, H.-J., Soong, W.-T., & Chen, W. J. (2004). A twin study of competence and behavioral/emotional problems among adolescents in Taiwan. Behavior Genetics, 34(1), 63-74. ","Kuo, Lin, Yang, Soong & Chen (2004)",No data,,,,,Twin study in Taipei City,Twin study in Taipei City,,,Twin and sibling study,Classical,558,14.05,12-16y,Adolescence,Taiwan,Taipei ,ADHD,ADHD,Continuous,Continuous,CBCL,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Females,0.7,0.14,0.01,0.09,0.3,0.05,FULL,,
"Larsson, H., Anckarsater, H., Råstam, M., Chang, Z., & Lichtenstein, P. (2012). Childhood attention‐deficit hyperactivity Disorder as an extreme of a continuous trait: A quantitative genetic study of 8,500 twin pairs. Journal of child Psychology and Psychiatry, 53(1), 73-80. ","Larsson, Anckarsater, Rastam, Chang & Lichtenstein (2012)",No data,,,,,Swedish Twin Register,Swedish Twin Register,,,Twin study,DFextremes,16366,,9-12y,Middle Childhood & Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,Score >6,Combined,0.6,0.54,0.03,0.01,0.4,0.03,DFFULL,,
"Larsson, H., Anckarsater, H., Råstam, M., Chang, Z., & Lichtenstein, P. (2012). Childhood attention‐deficit hyperactivity Disorder as an extreme of a continuous trait: A quantitative genetic study of 8,500 twin pairs. Journal of child Psychology and Psychiatry, 53(1), 73-80. ","Larsson, Anckarsater, Rastam, Chang & Lichtenstein (2012)",No data,,,,,Swedish Twin Register,Swedish Twin Register,,,Twin study,DFextremes,16366,,9-12y,Middle Childhood & Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,Score >12.5,Combined,0.62,0.52,0.05,0.01,0.38,0.05,DFFULL,,
"Larsson, H., Anckarsater, H., Råstam, M., Chang, Z., & Lichtenstein, P. (2012). Childhood attention‐deficit hyperactivity Disorder as an extreme of a continuous trait: A quantitative genetic study of 8,500 twin pairs. Journal of child Psychology and Psychiatry, 53(1), 73-80. ","Larsson, Anckarsater, Rastam, Chang & Lichtenstein (2012)",No data,,,,,Swedish Twin Register,Swedish Twin Register,,,Twin study,Classical,16366,,9-12y,Middle Childhood & Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,A-TAC,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.74,0.71,0.01,0.01,0.26,0.01,FULL,,
"Larsson, H., Dilshad, R., Lichtenstein, P., & Barker, E. D. (2011). Developmental trajectories of DSM‐IV symptoms of attention‐deficit/hyperactivity Disorder: Genetic effects, family risk and associated psychopathology. Journal of child Psychology and Psychiatry, 52(9), 954-963. ","Larsson, Dilshad, Lichtenstein & Barker (2011)",No data,,,,,TCHAD,TCHAD,,,Twin study,Categorical threshold,2019,,8-20y,Middle Childhood & Adolescence,Sweden,,ADHD,ADHD,Categorical,Binary,DSM-4,,,,,,,,Parent,Self,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD,Binary,,Combined,0.8,0.07,,,0.2,0.06,BEST,,
"Larsson, H., Dilshad, R., Lichtenstein, P., & Barker, E. D. (2011). Developmental trajectories of DSM‐IV symptoms of attention‐deficit/hyperactivity Disorder: Genetic effects, family risk and associated psychopathology. Journal of child Psychology and Psychiatry, 52(9), 954-963. ","Larsson, Dilshad, Lichtenstein & Barker (2011)",No data,,,,,TCHAD,TCHAD,,,Twin study,Categorical threshold,2019,,8-20y,Middle Childhood & Adolescence,Sweden,,ADHD,ADHD,Categorical,Binary,DSM-4,,,,,,,,Parent,Self,Sex,,,,Family,Inattention,Inattention,ADHD,Binary,,Combined,0.72,0.07,,,0.28,0.06,BEST,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Males,0.77,0.01,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Males,0.72,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,16-17y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Males,0.66,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Males,0.61,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Males,0.6,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Females,0.88,0.01,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Females,0.55,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,16-17y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Females,0.64,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,8-9y,Middle Childhood,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Females,0.59,0.02,,,,,Aonly,,
"Larsson, H., Lichtenstein, P., & Larsson, J.-O. (2006). Genetic contributions to the development of ADHD subtypes from childhood to adolescence. Journal of the American Academy of Child & Adolescent Psychiatry, 45(8), 973-981. ","Larsson, Lichtenstein & Larsson (2006)",No data,,,,,TCHAD,TCHAD,,,Twin study,Classical,2405,,13-14y,Adolescence,Sweden,,ADHD,ADHD,Continuous,Continuous,DSM-3-R,,,,,,,,Parent,,Not used,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Females,0.62,0.02,,,,,Aonly,,
"Lee, S. H., Ripke, S., Neale, B. M., Faraone, S. V., Purcell, S. M., Perlis, R. H., . . . Witte, J. S. (2013). Genetic relationship between five psychiatric Disorders estimated from genome-wide SNPs. Nature genetics, 45(9), 984. ",Lee et al. (2013),100,,,,,PGC,PGC,,,GCTA study,REML,11467,,7-12y,Childhood & Adolescence,European ancestry,,ASD,ASD,Categorical,Binary,ICD-10,,,,,,,,Diagnosis,,PCs,,,,SNP,ASD,ASD,ASD,Binary,,Combined,0.11,0.02,,,,,SNP,,
"Lee, S. H., Ripke, S., Neale, B. M., Faraone, S. V., Purcell, S. M., Perlis, R. H., . . . Witte, J. S. (2013). Genetic relationship between five psychiatric Disorders estimated from genome-wide SNPs. Nature genetics, 45(9), 984. ",Lee et al. (2013),100,,,,,PGC,PGC,,,GCTA study,REML,11467,,>75% children,Childhood & Adolescence,European ancestry,,ADHD,ADHD,Categorical,Binary,ICD-10,,,,,,,,Diagnosis,,PCs,,,,SNP,ADHD,ADHD,ADHD,Binary,,Combined,0.24,0.02,,,,,SNP,,
"Lemery‐Chalfant, K., Doelger, L., & Goldsmith, H. H. (2008). Genetic relations between effortful and attentional control and symptoms of psychopathology in middle childhood. Infant and Child Development: An International Journal of Research and Practice, 17(4), 365-385. ","Lemery-Chalfant, Doelger & Goldsmith (2008)",95,,2,,,WTP,WTP,,,Twin study,Classical,1126,,8y,Middle Childhood,USA,Wisconsin,ADHD,ADHD,Continuous,Continuous,CBQ,,,,,,,,Parent,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.68,0.02,0.1,0.04,0.22,0.04,FULL,,
"Lemery‐Chalfant, K., Doelger, L., & Goldsmith, H. H. (2008). Genetic relations between effortful and attentional control and symptoms of psychopathology in middle childhood. Infant and Child Development: An International Journal of Research and Practice, 17(4), 365-385. ","Lemery-Chalfant, Doelger & Goldsmith (2008)",95,,2,,,WTP,WTP,,,Twin study,Classical,1126,,8y,Middle Childhood,USA,Wisconsin,ADHD,ADHD,Continuous,Continuous,BRS,,,,,,,,Researcher,,Sex,,,,Family,Inattention,Inattention,ADHD Traits,Continuous,,Combined,0.63,0.03,0.19,0.04,0.18,0.04,FULL,,
"Levy, F., Hay, D. A., McSTEPHEN, M., Wood, C., & Waldman, I. (1997). Attention-deficit hyperactivity Disorder: a category or a continuum? Genetic analysis of a large-scale twin study. Journal of the American Academy of Child & Adolescent Psychiatry, 36(6), 737-744. ","Levy, Hay, McStephen, Wood & Waldman (1997)",No data,,,,,ATAP,ATAP,,,Twin and sibling study,DFextremes,5067,7.9,4-12y,Childhood & Adolescence,Australia,,ADHD,ADHD,Continuous,Continuous,PC-DISC,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,Probands,Combined,0.91,0.12,0.13,0.16,,,DFBEST,,
"Levy, F., Hay, D. A., McSTEPHEN, M., Wood, C., & Waldman, I. (1997). Attention-deficit hyperactivity Disorder: a category or a continuum? Genetic analysis of a large-scale twin study. Journal of the American Academy of Child & Adolescent Psychiatry, 36(6), 737-744. ","Levy, Hay, McStephen, Wood & Waldman (1997)",No data,,,,,ATAP,ATAP,,,Twin and sibling study,DFextremes,5067,7.9,4-12y,Childhood & Adolescence,Australia,,ADHD,ADHD,Continuous,Continuous,PC-DISC,,,,,,,,Parent,,Not used,,,,Family,ADHD,ADHD,ADHD Traits,Continuous,,Combined,0.75,0.21,,,,,DFAonly,,
"Lewis, G., & Plomin, R. (2015). Heritable influences on behavioural problems from early childhood to mid-adolescence: evidence for genetic stability and innovation. Psychological Medicine, 45(10), 2171-2179. ",Lewis & Plomin (2015),No data,,,,,TEDS,TEDS,,,Twin study,Classical,14752,,4y,Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.36,0.02,,,0.64,0.01,BEST,,
"Lewis, G., & Plomin, R. (2015). Heritable influences on behavioural problems from early childhood to mid-adolescence: evidence for genetic stability and innovation. Psychological Medicine, 45(10), 2171-2179. ",Lewis & Plomin (2015),No data,,,,,TEDS,TEDS,,,Twin study,Classical,14752,,7y,Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.62,0.01,,,0.38,0.02,BEST,,
"Lewis, G., & Plomin, R. (2015). Heritable influences on behavioural problems from early childhood to mid-adolescence: evidence for genetic stability and innovation. Psychological Medicine, 45(10), 2171-2179. ",Lewis & Plomin (2015),No data,,,,,TEDS,TEDS,,,Twin study,Classical,14752,,9y,Middle Childhood,UK,England and Wales,ADHD,ADHD,Continuous,Continuous,SDQ,,,,,,,,Parent,,Sex,,,,Family,Hyperactivity,Hyperactivity/Impulsivity,ADHD Traits,Continuous,,Combined,0.68,0.01,,,0.32,0.02,BEST,,
